theta_0,theta_bias,sigma_squared
-0.08966771275143137,-0.8956589991622905,0.022306825584348156
-0.336342000308928,-0.8836831678221992,0.02322737867635855
-0.5257934572070828,-0.8648732442684618,0.02475291781466975
-0.26150492242024637,-0.8922644606438632,0.022166015453826796
-0.21402001161000642,-0.9101752685639247,0.02169616438943222
-0.42811175264730983,-0.857128189328277,0.02177619834664461
-0.2637221366945711,-0.900052459839391,0.022357043711786435
-0.24922835221891265,-0.8931793987084564,0.02784708985471867
-0.34914329462114124,-0.8793755703900565,0.020584768096780663
-0.4869982164599037,-0.8711234681086931,0.021853256000369626
-0.2619825421922026,-0.8958160160991752,0.02231950125953646
-0.1217299529581582,-0.8969237433673872,0.02054628734464413
-0.09580524088171297,-0.9141185441557367,0.02398112235907918
-0.3230370081730486,-0.8708570447557973,0.02348500632505169
-0.040250762309195415,-0.9165895507733902,0.023071093130311294
-0.2965168352463823,-0.8871154093658273,0.025408107044502908
-0.14750756547290517,-0.89344936023158,0.022428957609970566
-0.25471718565005663,-0.8839715222594888,0.0256703253932708
-0.21721020067318086,-0.9197314376432609,0.026298137380742784
-0.1452739113474481,-0.9051644830716837,0.022365290709677785
-0.21009689977130822,-0.8649486207968023,0.022419586978788066
-0.15841430554637098,-0.9131729285114056,0.026884145796533903
-0.21267968478878518,-0.899470315487435,0.023667235650882287
-0.23385458604749115,-0.903033552910548,0.02013198984491581
-0.20399041836190157,-0.9085799117071771,0.0211463457760044
-0.3131825566134749,-0.8734261849810463,0.022105746245123178
-0.26659254891835427,-0.8867749367963973,0.026615033972675648
-0.16096071071853607,-0.9394577610799559,0.01856178064400625
-0.32616623676684675,-0.8702406160272481,0.02167854756379271
-0.3426888799033726,-0.8624770477590543,0.02321947132827816
-0.28457029339117,-0.871414755604964,0.022860805412630317
-0.29211887650337226,-0.8839967837639973,0.02661943598689409
-0.21062000893223204,-0.901250313249769,0.021247057027245567
-0.2894958470986041,-0.8719063513582711,0.026933275878339866
-0.21329725086902052,-0.8851561746771017,0.020514572080955147
-0.17318411167489112,-0.910586916294145,0.023087230553918682
